Column1,Year,NUTS ID,Country code,Name (latin characters),Yearly PM 2.5 average (µg/m³),Population estimate (GHSL 2020),0–5µg/m³ - population,5–10µg/m³ - population,10–15µg/m³ - population,15–20µg/m³ - population,20–25µg/m³ - population,25+ µg/m³ - population,0–5µg/m³ - percentage,5–10µg/m³ - percentage,10–15µg/m³ - percentage,15–20µg/m³ - percentage,20–25µg/m³ - percentage,25+ µg/m³ - percentage
138,2021,IT,IT,Italia,10.000667,55262925,110372,19966949,17730746,9967159,7487698,0,0.001997211,0.361308227,0.320843425,0.180358884,0.135492254,0
139,2022,IT,IT,Italia,10.561023,55262925,5275,14576031,21552680,9077892,10051047,0,9.54611E-05,0.263757864,0.390002516,0.164267311,0.181876849,0
140,2018,LI,LI,Liechtenstein,7.7647643,29801,0,29801,0,0,0,0,0,1,0,0,0,0
141,2019,LI,LI,Liechtenstein,7.634364,29801,0,29801,0,0,0,0,0,1,0,0,0,0
142,2020,LI,LI,Liechtenstein,6.767114,29801,0,29801,0,0,0,0,0,1,0,0,0,0
143,2021,LI,LI,Liechtenstein,6.8990183,29801,0,29801,0,0,0,0,0,1,0,0,0,0
144,2022,LI,LI,Liechtenstein,7.829762,29801,0,29801,0,0,0,0,0,1,0,0,0,0
145,2018,LT,LT,Lietuva,8.272661,2792330,0,2417285,375045,0,0,0,0,0.865687478,0.134312522,0,0,0
146,2019,LT,LT,Lietuva,8.808398,2792330,0,1901583,890747,0,0,0,0,0.681002322,0.318997678,0,0,0
147,2020,LT,LT,Lietuva,7.8488517,2792330,0,2322902,469428,0,0,0,0,0.831886484,0.168113516,0,0,0
148,2021,LT,LT,Lietuva,7.6808667,2792330,0,2561707,230623,0,0,0,0,0.917408574,0.082591426,0,0,0
149,2022,LT,LT,Lietuva,7.4371877,2792330,0,2471545,320785,0,0,0,0,0.885119173,0.114880827,0,0,0
150,2018,LU,LU,Luxembourg,8.883452,580682,0,382657,198025,0,0,0,0,0.658979095,0.341020905,0,0,0
151,2019,LU,LU,Luxembourg,7.667371,580682,0,580682,0,0,0,0,0,1,0,0,0,0
152,2020,LU,LU,Luxembourg,6.8659344,580682,0,580682,0,0,0,0,0,1,0,0,0,0
153,2021,LU,LU,Luxembourg,7.614191,580682,0,580682,0,0,0,0,0,1,0,0,0,0
154,2022,LU,LU,Luxembourg,7.8373013,580682,0,580682,0,0,0,0,0,1,0,0,0,0
155,2018,LV,LV,Latvija,6.41477,1856359,0,1856359,0,0,0,0,0,1,0,0,0,0
156,2019,LV,LV,Latvija,7.181563,1856359,0,1261942,594417,0,0,0,0,0.679793999,0.320206001,0,0,0
157,2020,LV,LV,Latvija,6.308807,1856359,0,1542603,313757,0,0,0,0,0.830982834,0.169017166,0,0,0
158,2021,LV,LV,Latvija,5.860337,1856359,13113,1843246,0,0,0,0,0.007064036,0.992935964,0,0,0,0
159,2022,LV,LV,Latvija,6.1185164,1856359,412,1542191,313757,0,0,0,0.000221873,0.830760961,0.169017166,0,0,0
160,2018,ME,ME,Crna Gora,8.2405615,604071,0,597931,6140,0,0,0,0,0.989836293,0.010163707,0,0,0
161,2019,ME,ME,Crna Gora,10.524494,604071,0,114268,488930,872,0,0,0,0.189163444,0.809392502,0.001444054,0,0
162,2020,ME,ME,Crna Gora,9.755765,604071,0,40615,368954,194502,0,0,0,0.067235143,0.610778792,0.321986064,0,0
163,2021,ME,ME,Crna Gora,7.9140615,604071,0,574626,29444,0,0,0,0,0.951256913,0.048743087,0,0,0
164,2022,ME,ME,Crna Gora,8.875893,604071,0,286990,317081,0,0,0,0,0.475092823,0.524907177,0,0,0
165,2018,MK,MK,Severna Makedonija,10.715873,2097340,0,425239,992819,349501,329782,0,0,0.202751436,0.473370303,0.166640231,0.157238029,0
166,2019,MK,MK,Severna Makedonija,13.050583,2097340,0,52548,913187,502165,314199,315241,0,0.0250544,0.435402408,0.239429636,0.149808268,0.150305288
167,2020,MK,MK,Severna Makedonija,11.635996,2097340,0,167449,997988,372053,490334,69517,0,0.079838801,0.475834873,0.177392716,0.233788321,0.033145289
